p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.973952217305355e-43,1.949884995354693,0.64,0.013,3.932457016942871e-39,15,Cbln2
8.870446084833302e-43,1.9800987888986321,0.947,0.57,1.1729390857975076e-38,15,March1
3.213979877733705e-42,2.379818560306885,0.968,0.689,4.249845592327278e-38,15,Lingo2
3.9764274224068064e-39,1.9481413764186817,0.884,0.456,5.25802998064852e-35,15,Nav3
1.7749619750021012e-35,1.5614897981567084,0.952,0.654,2.3470322195452782e-31,15,Lrfn5
4.261682344000595e-34,-1.4881969388744993,0.698,0.93,5.635222563471987e-30,15,Adam23
3.717947966744947e-33,-1.3694593329200253,0.989,1,4.916242596426843e-29,15,Ccser1
4.293895673633856e-32,1.5511659195056862,0.974,0.649,5.677818249246047e-28,15,Opcml
9.821990845886084e-32,-2.3382479667132077,0.646,0.908,1.2987618495515168e-27,15,Pde4b
2.135412222474843e-31,-8.071128910320843,0.688,0.917,2.823655581778485e-27,15,Avp
4.582083939697627e-29,1.6817068061082567,0.788,0.219,6.058889593462172e-25,15,Trh
5.234573688075015e-29,-1.7275745970884278,0.053,0.566,6.921676787741592e-25,15,Foxp2
1.2539961969365175e-28,-1.2271561074544248,0.958,1,1.658159171209157e-24,15,Dpp6
3.5338507900265337e-28,-1.4220801088509667,0.048,0.553,4.6728108996520854e-24,15,Stxbp6
1.0525953744140788e-27,1.2633279646995716,0.873,0.478,1.3918468635877364e-23,15,Celf2
1.0915577113424666e-27,1.5397565101871473,0.82,0.351,1.4433667617081437e-23,15,Tenm3
4.0407274263173056e-27,1.0426405691097949,0.481,0.035,5.343053875819373e-23,15,Cbln1
1.2512165797981161e-26,1.3318769185495913,0.968,0.939,1.654483683467049e-22,15,Lrp1b
1.6091910059674893e-25,-7.186196036666572,0.418,0.763,2.1278332671908113e-21,15,Oxt
6.88363337493268e-25,1.1304699318954083,0.487,0.057,9.102228411673483e-21,15,Adcyap1
1.4856500563827376e-24,1.3894044065046969,0.899,0.504,1.964475069554894e-20,15,Mgat4c
6.904234164370866e-24,1.0046200397978915,0.82,0.439,9.129468835547596e-20,15,Camk2n1
1.7905817271548362e-23,1.6927317389724081,0.757,0.311,2.36768621781684e-19,15,Pcdh11x
2.495880064672159e-23,1.355536487530182,0.635,0.197,3.3003022095159957e-19,15,Grm1
3.557424051745883e-23,-0.8686271986584586,0.101,0.583,4.703981823623581e-19,15,Pou3f2
4.7201907873016674e-23,0.9200776245429856,0.487,0.07,6.241508278048994e-19,15,Zfhx4
1.1183498299071918e-22,0.9493348480367976,0.64,0.193,1.4787939800862798e-18,15,Plxna4
1.7856174844887964e-22,1.18689118453985,0.667,0.228,2.3611219997395354e-18,15,4930555F03Rik
2.689343842819104e-22,0.7448568613611539,0.979,0.838,3.556119363359701e-18,15,Camta1
5.247770381630828e-22,1.0281150550385312,0.963,0.768,6.939126775630444e-18,15,Gabrg3
8.429251391383754e-22,0.7527992850810499,0.466,0.057,1.1145999114826738e-17,15,Caln1
9.336065172082643e-22,1.1948917523024556,0.873,0.469,1.234507897704488e-17,15,Efna5
1.1997367958621689e-21,0.8392713538500773,0.64,0.197,1.586411965168546e-17,15,Sez6l
1.4318513700189584e-21,1.000651273056691,0.862,0.579,1.8933370665760687e-17,15,Olfm1
9.653587879395698e-21,-1.1010103622689984,0.101,0.513,1.276493925292493e-16,15,Caprin2
1.0385766075838509e-20,0.763979615199257,0.519,0.105,1.373309848208126e-16,15,Ngb
2.5536254405959655e-20,0.6813643461280465,1,0.996,3.3766589201000454e-16,15,Nrxn1
5.139617496915891e-20,0.5862619108988292,0.328,0.004,6.796116216171882e-16,15,Islr2
2.0321632012591005e-19,1.3070418272040683,0.513,0.136,2.6871294010249086e-15,15,Unc13c
2.4632186333916196e-19,-1.0023709044627471,0.032,0.412,3.2571139989337384e-15,15,Fign
4.2324018630742693e-19,-1.1422011432509445,0.751,0.939,5.5965049835431064e-15,15,Cntn4
6.628141460180695e-19,1.1329689712192017,0.714,0.351,8.764391452796933e-15,15,Edil3
7.494157258793253e-19,1.3045949218670065,0.497,0.136,9.90952414330232e-15,15,Trhde
1.0992329721671632e-18,0.7124493145591748,0.91,0.667,1.45351575909664e-14,15,Sh3bp1
1.128298597198804e-18,0.6443260594614554,0.317,0.009,1.4919492350759786e-14,15,Gm2694
1.1802104414726632e-18,0.7306518202340038,0.989,0.89,1.5605922667593024e-14,15,Gpm6a
1.3361049697174395e-18,0.7305393250067733,0.593,0.193,1.7667316014573703e-14,15,AI593442
2.140478166007846e-18,0.7926002931390248,0.746,0.289,2.8303542789121746e-14,15,Robo1
2.7318427065353248e-18,0.6394766598000595,0.312,0.009,3.61231561085166e-14,15,Onecut2
3.4105734503926145e-18,-0.6303424042251652,0.026,0.386,4.509801273454154e-14,15,Tns1
3.792121131374669e-18,0.8147567067911923,0.921,0.728,5.0143217720167254e-14,15,Gm26848
3.8309081006757986e-18,0.5566922550541094,1,1,5.065609781523608e-14,15,Meg3
4.9467136029598185e-18,-0.9842210488943448,0.196,0.596,6.541039397193768e-14,15,Cdh9
6.272121013140392e-18,0.7129065579575372,0.667,0.268,8.29362561567554e-14,15,Rbfox3
6.291747920999715e-18,1.1340630319102178,0.894,0.605,8.319578275937923e-14,15,Cntn5
6.538465789350785e-18,0.6464051015607016,0.381,0.044,8.645813313258544e-14,15,Zic5
7.649445593395126e-18,1.2468794240107193,0.571,0.211,1.0114861908146375e-13,15,Kctd16
1.3473789079019641e-17,-1.0901468645511876,0.259,0.636,1.7816391299187672e-13,15,Kcnh1
1.9877395846341212e-17,-0.73300943366442,0.026,0.373,2.6283880527616985e-13,15,Ebf3
3.071259863269164e-17,-1.176899947540818,0.937,0.987,4.0611269172008157e-13,15,Kcnip4
